Unique ID,State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status,Comments/Action Taken,Week
MP/REW/2024/28/1494,Madhya Pradesh,Rewa,Japanese Encephalitis,3,1,09-07-2024,09-07-2024,Under Surveillance,Cases from Village Khaira. Age 6-25 years. 1 of 3 blood samples positive for JE IgM. 14-year-old female died (JE positive).,Week 28
MP/REW/2024/28/1495,Madhya Pradesh,Rewa,Japanese Encephalitis,10,0,09-07-2024,09-07-2024,Under Surveillance,Cases from Village Khamhiriya. Age 1-10 years. 3 of 10 blood samples positive for JE IgM.,Week 28
MP/SNA/2024/28/1496,Madhya Pradesh,Satna,Acute Diarrheal Disease,33,0,12-07-2024,12-07-2024,Under Surveillance,Cases from Village Bara Khurd. Stool no growth. Water samples unfit.,Week 28
MP/SHD/2024/28/1497,Madhya Pradesh,Shahdol,Japanese Encephalitis,5,1,10-07-2024,10-07-2024,Under Surveillance,Cases from Village Mau. 1 of 5 blood samples positive for JE IgM. 2-year-old male died (JE positive).,Week 28
MH/AKO/2024/28/1498,Maharashtra,Akola,Acute Diarrheal Disease,93,0,12-07-2024,12-07-2024,Under Control,Cases from Village Sarada. All 6 stool samples negative for Cholera. 2 of 16 water samples non-potable.,Week 28
MH/CDP/2024/28/1499,Maharashtra,Chandrapur,Acute Diarrheal Disease,12,1,12-07-2024,12-07-2024,Under Control,Cases from Malviya Ward. All samples negative for entero-pathogen. 4-year-old male died.,Week 28
MH/GAD/2024/28/1500,Maharashtra,Gadchiroli,Malaria,3,1,10-07-2024,10-07-2024,Under Control,Cases from Village Nender. 3 of 183 blood smears positive for Malaria (P.vivax). 10-year-old female died at District Hospital.,Week 28
MH/HNG/2024/28/1501,Maharashtra,Hingoli,Acute Diarrheal Disease,7,0,08-07-2024,08-07-2024,Under Surveillance,Cases from Village Kanaka. Single family after common kitchen. Symptomatic treatment.,Week 28
MH/LAT/2024/28/1502,Maharashtra,Latur,Dengue,7,1,08-07-2024,08-07-2024,Under Control,Cases from Anand Nagar. 1 of 7 samples positive for Dengue IgM. 14-year-old male died.,Week 28
MH/LAT/2024/28/1503,Maharashtra,Latur,Hepatitis A,9,0,08-07-2024,08-07-2024,Under Control,Cases from Ahmadpur City. 8 of 9 samples positive for Anti-HAV IgM.,Week 28
MH/PNE/2024/28/1504,Maharashtra,Pune,Zika Virus,2,0,10-07-2024,12-07-2024,Under Surveillance,Cases from Munjaba Vasti. 2 of 3 samples positive for Zika RT-PCR.,Week 28
MH/PNE/2024/28/1505,Maharashtra,Pune,Zika Virus,3,0,06-07-2024,09-07-2024,Under Surveillance,"Cases from Bhagwatinagar, Pashan. 2 of 5 samples positive for Zika RT-PCR.",Week 28
MH/RIG/2024/28/1506,Maharashtra,Raigad,Dengue,1,1,11-07-2024,12-07-2024,Under Surveillance,Cases from Village Chambharkhind. 1 sample positive for Dengue IgM. 38-year-old male died 10-07-2024.,Week 28
MH/ESAGRN/2024/28/1507,Maharashtra,Sangli,Dengue,2,1,11-07-2024,12-07-2024,Under Control,Cases from Village Jat. 1 sample positive for Dengue IgM & NS1 Ag. 22-year-old male died (Dengue positive).,Week 28
MH/THN/2024/28/1508,Maharashtra,Thane,Dengue,2,1,09-07-2024,09-07-2024,Under Surveillance,Cases from Village Khmbalpada. Both samples positive for Dengue NS1 Ag. 47-year-old female died (Dengue positive).,Week 28
MH/WHI/2024/28/1509,Maharashtra,Washim,Dengue,6,0,12-07-2024,12-07-2024,Under Control,Cases from Village Shegi. 3 of 6 samples positive for Dengue IgM.,Week 28
MH/YVT/2024/28/1510,Maharashtra,Yavatmal,Acute Diarrheal Disease,43,0,13-07-2024,13-07-2024,Under Control,Cases from Village Shedursarni. All water and stool samples negative.,Week 28
MH/YVT/2024/28/1511,Maharashtra,Yavatmal,Cholera,7,0,12-07-2024,12-07-2024,Under Control,Cases from Village Kamndev. 9 of 10 stool samples positive for Cholera.,Week 28
MH/YVT/2024/28/1512,Maharashtra,Yavatmal,Cholera,30,0,08-07-2024,09-07-2024,Under Control,Cases from Village Khed. 2 of 3 stool samples positive for V.cholerae.,Week 28
MN/KMG/2024/28/1513,Manipur,Kamjong,Typhoid,12,0,12-07-2024,13-07-2024,Under Surveillance,Cases from Bohoram Village. Both samples positive for Typhoid by Typhidot. Age 1-38 years.,Week 28
MG/RIB/2024/28/1514,Meghalaya,Ri Bhoi,Typhoid,13,0,11-07-2024,11-07-2024,Under Surveillance,Cases from school. 1 of 17 blood samples positive for Typhoid. Both water samples positive for E.coli. Age 11-53 years.,Week 28
OR/BLG/2024/28/1515,Odisha,Balangir,Dengue,66,0,09-07-2024,09-07-2024,Under Surveillance,Cases from Village Saintala. All 66 blood samples positive for Dengue NS1 Ag by ELISA.,Week 28
OR/GAN/2024/28/1516,Odisha,Ganjam,Acute Diarrheal Disease,15,0,09-07-2024,10-07-2024,Under Control,"Cases from Village Singipur. Rectal swab no pathogenic growth. Water OT<0.1 PPM, H2S positive.",Week 28
OR/JJP/2024/28/1517,Odisha,Jajpur,Hepatitis A,8,0,14-07-2024,14-07-2024,Under Surveillance,Cases from Village Bidyadharpur. All 8 blood samples positive for Anti-HAV IgM by ELISA.,Week 28
OR/KHD/2024/28/1518,Odisha,Khordha,Measles,22,0,09-07-2024,09-07-2024,Under Surveillance,Cases from Village Satakania. 5 of 6 samples positive for Measles IgM. Age 1-18 years.,Week 28
OR/MLK/2024/28/1519,Odisha,Malkangiri,Acute Diarrheal Disease,32,0,11-07-2024,11-07-2024,Under Control,Cases from Village Kopra. 5 of 7 rectal swabs positive for Vibrio cholera O1.,Week 28
OR/MYB/2024/28/1520,Odisha,Mayurbhanj,Acute Diarrheal Disease,40,0,10-07-2024,10-07-2024,Under Control,"Cases from school, Village Dhobanisul. Age 11-15 years. Water samples H2S negative.",Week 28
OR/RGD/2024/28/1521,Odisha,Rayagada,Acute Diarrheal Disease,5,0,08-07-2024,11-07-2024,Under Control,"Cases from Village Bhatangpadar. Age 45-70 years. Water OT<0.1 PPM, H2S negative.",Week 28
OR/RGD/2024/28/1522,Odisha,Rayagada,Malaria,31,0,07-07-2024,08-07-2024,Under Control,Cases from Talaanchalbadi Village. 23 of 31 blood samples positive for Malaria on RDK. Age 6-15 years.,Week 28
OR/SUG/2024/28/1523,Odisha,Sundargarh,Food Poisoning,9,0,06-07-2024,09-07-2024,Under Control,Cases from Biramitrapur. After consumption of wild mushrooms. No entero-pathogenic organism found.,Week 28
PB/JLD/2024/28/1524,Punjab,Jalandhar,Acute Diarrheal Disease,23,0,12-07-2024,12-07-2024,Under Surveillance,Cases from Jalandhar-I. Age 1-30 years. Stool no growth. All 7 water samples non-potable.,Week 28
PB/SBS/2024/28/1525,Punjab,Shahid Bhagat Singh Nagar,Cholera,65,0,10-07-2024,10-07-2024,Under Control,Cases from Prem Nagar area. 2 of 6 stool samples positive for Vibrio cholera. 5 of 10 water samples non-potable. Age 1-30 years.,Week 28
TN/MDR/2024/28/1526,Tamil Nadu,Madurai,Hepatitis A,6,0,11-07-2024,15-07-2024,Under Surveillance,Cases from school. All 4 blood samples positive for Hepatitis A. Age 6-10 years.,Week 28
TN/PDD/2024/28/1527,Tamil Nadu,Pudukkottai,Hepatitis A,16,0,09-07-2024,10-07-2024,Under Surveillance,Cases from Village Vayalogam. 2 samples positive for Hepatitis A. All 3 water samples positive for E.coli. Age 5-14 years.,Week 28
TN/TJH/2024/28/1528,Tamil Nadu,Thanjavur,Acute Diarrheal Disease,17,0,13-07-2024,15-07-2024,Under Control,Cases from Village Puthupatti. Stool no growth. Blood negative. Water positive for E.coli.,Week 28
TN/ERTRCN/2024/28/1529,Tamil Nadu,Tiruchirappalli,Hepatitis A,18,0,11-07-2024,11-07-2024,Under Surveillance,Cases from school. 6 of 11 blood samples positive for Hepatitis A. Water potable.,Week 28
TN/TRC/2024/28/1530,Tamil Nadu,Tiruchirappalli,Acute Diarrheal Disease,9,0,09-07-2024,09-07-2024,Under Control,Cases from Village Melavasal. 1 of 3 water samples positive for E.coli.,Week 28
UP/BDI/2024/28/1531,Uttar Pradesh,Bhadohi,Food Poisoning,24,0,08-07-2024,09-07-2024,Under Control,Cases from Sub-District Bhadohi. After food from common place. Age 1-10 years. All stool and food samples negative.,Week 28
UP/GZB/2024/28/1532,Uttar Pradesh,Ghaziabad,Measles,4,0,05-07-2024,09-07-2024,Under Control,Cases from Village Bamheta. All unvaccinated. All 4 samples positive for Measles IgM. Vitamin A given. Extra immunization done.,Week 28
UP/KSN/2024/28/1533,Uttar Pradesh,Kushi Nagar,Measles,6,0,15-06-2024,09-07-2024,Under Control,Cases from Village Khairtia. All unvaccinated. 1 of 5 samples positive for Measles IgM. Vitamin A given.,Week 28
UP/KSN/2024/28/1534,Uttar Pradesh,Kushi Nagar,Measles,17,0,04-06-2024,09-07-2024,Under Control,Cases from CHC Khadda Turkahan. 3 of 5 samples positive for Measles IgM. Vitamin A given.,Week 28
UP/MUZ/2024/28/1535,Uttar Pradesh,Muzaffarnagar,Chickenpox,7,0,11-07-2024,12-07-2024,Under Control,Cases from Village Sandhwali. Fever with rash. Clinically diagnosed.,Week 28
UP/PRJ/2024/28/1536,Uttar Pradesh,Prayagraj,Acute Diarrheal Disease,6,0,06-07-2024,08-07-2024,Under Control,Cases from Meja CHC. Symptomatic treatment.,Week 28
UK/ALM/2024/28/1537,Uttarakhand,Almora,Acute Diarrheal Disease,55,0,09-07-2024,10-07-2024,Under Control,Cases from Village Uprari. All age groups. All 8 stool samples no growth.,Week 28
WB/BIB/2024/28/1538,West Bengal,Birbhum,Acute Diarrheal Disease,38,0,10-07-2024,11-07-2024,Under Control,Cases from Village Bhalian. All 4 rectal swabs no growth.,Week 28
WB/MED/2024/28/1539,West Bengal,Medinipur West,Acute Diarrheal Disease,103,0,09-07-2024,10-07-2024,Under Control,Cases from hostel. After common kitchen. Age 12-16 years. Rectal swabs no growth. Water fit.,Week 28
WB/BDM/2024/28/1540,West Bengal,Purba Bardhaman,Food Poisoning,57,0,04-07-2024,08-07-2024,Under Control,Cases from Village Monteswar. After religious festival. 1 rectal swab positive for Aeromonas.,Week 28
WB/PUL/2024/28/1541,West Bengal,Purulia,Acute Diarrheal Disease,6,0,12-07-2024,12-07-2024,Under Control,Cases from Village Kinisayar. Rectal swabs no growth.,Week 28
AP/TPT/2024/28/1542,Andhra Pradesh,Tirupati,Acute Diarrheal Disease,7,0,24-06-2024,,Under Control,Cases from Village Katrapalle. All 8 water samples satisfactory. Stool no growth. Late report.,Week 28
AP/TPT/2024/28/1543,Andhra Pradesh,Tirupati,Cholera,19,0,23-06-2024,,Under Control,Cases from Village Chennuru. 1 of 4 water positive for E.coli. Stool positive for V.cholerae. Late report.,Week 28
KN/DEV/2024/28/1544,Karnataka,Davangere,Acute Gastroenteritis,67,0,03-07-2024,,Under Control,Cases from Village Rajagonddanahalli Thanda. 11 of 19 water samples NSPP. Late report.,Week 28
KL/ALP/2024/28/1545,Kerala,Alappuzha,Acute Gastroenteritis,62,0,22-06-2024,,Under Control,Cases from school. 1 of 3 rectal swabs positive for Noro virus by PCR. Water showed Coliforms. Late report.,Week 28
KL/TRC/2024/28/1546,Kerala,Thrissur,Chickenpox,8,0,04-07-2024,,Under Control,"Cases from school, Village Athirappally. Age 6-9 years. Clinically diagnosed. Cases isolated. Late report.",Week 28
MH/PNE/2024/28/1547,Maharashtra,Pune,Zika Virus,1,0,03-07-2024,,Under Surveillance,Cases from Village Saswad Rural. 1 of 27 samples positive for Zika RT-PCR. Late report.,Week 28
MN/KAK/2024/28/1548,Manipur,Kakching,Acute Gastroenteritis,32,0,24-04-2024,,Under Control,Cases from school. Age 11-18 years. All samples negative. Late report.,Week 28
MN/TBL/2024/28/1549,Manipur,Thoubal,Mumps,9,0,27-06-2024,,Under Control,"Cases from PHC Leisangthem. Parotitis, fever. Age 5-14 years. Clinically diagnosed. Late report.",Week 28
OR/ANG/2024/28/1550,Odisha,Anugul,Japanese Encephalitis,2,1,03-06-2024,,Under Control,Cases from Village Bahalsahi. Age 5-9 years. Both samples positive for JE IgM. 9-year-old female died (JE positive). Late report.,Week 28
OR/KLN/2024/28/1551,Odisha,Kalahandi,Diphtheria,10,0,14-06-2024,,Under Control,Cases from Village Sirimaska. 2 of 10 throat swabs positive for C. diphtheria. Age 2-34 years. Late report.,Week 28
OR/KLN/2024/28/1552,Odisha,Kandhamal,Acute Diarrheal Disease,11,0,02-07-2024,,Under Control,Cases from Village Partiguda. After wild mushrooms. Age 3-45 years. Water H2S negative. Late report.,Week 28
RJ/BHW/2024/28/1553,Rajasthan,Bhilwara,Acute Diarrheal Disease,8,0,25-06-2024,,Under Control,"Cases from Mandalgarh CHC. Stool showed E.coli, Klebsiella, Enterococci. Late report.",Week 28
AP/PLU/2024/29/1554,Andhra Pradesh,Palnadu,Acute Diarrheal Disease,64,0,12-07-2024,20-07-2024,Under Control,Cases from Pilala Gadda. 7 of 28 water samples unfit (Klebsiella detected). Pipeline leakage repaired.,Week 29
AP/TPT/2024/29/1555,Andhra Pradesh,Tirupati,Food Poisoning,135,0,15-07-2024,18-07-2024,Under Control,"Cases from Boys Hostel, Village L.A. Sagaram. 2 stool positive for vibrio cholera. After leftover food at night. Water samples fit.",Week 29
AP/TPT/2024/29/1556,Andhra Pradesh,Tirupati,Food Poisoning,18,2,15-07-2024,18-07-2024,Under Control,Cases from Special School for mentally retarded children. Water samples fit. 35-year-old male brought dead. 16-year-old male expired.,Week 29
AR/LDA/2024/29/1557,Arunachal Pradesh,Leparada,Acute Diarrheal Disease,16,0,18-07-2024,19-07-2024,Under Control,"Cases from Girls school, Village New Daring. Stool showed growth of E.coli.",Week 29
AR/LHT/2024/29/1558,Arunachal Pradesh,Lohit,Shigellosis,29,0,18-07-2024,18-07-2024,Under Control,Cases from Wakro Township. All 4 stool samples positive for EIEC and Shigella.,Week 29
AS/CHG/2024/29/1559,Assam,Chirang,Japanese Encephalitis,3,0,19-07-2024,21-07-2024,Under Control,Cases from Village Dewanpara No.2. CSF positive for JE IgM by ELISA. Symptomatic treatment.,Week 29
AS/GLP/2024/29/1560,Assam,Goalpara,Human Rabies,1,1,18-07-2024,18-07-2024,Under Control,"51-year-old male. Restlessness, hydrophobia, aerophobia. Dog bite 2 months prior. No ARV. Expired 20-07-2024.",Week 29
AS/GLP/2024/29/1561,Assam,Goalpara,Acute Diarrheal Disease,35,0,17-07-2024,17-07-2024,Under Control,Cases from Village Jyotigaon. Rectal swabs no pathogenic growth. Water samples fit.,Week 29
AS/KAG/2024/29/1562,Assam,Karbi Anglong,Japanese Encephalitis,2,2,19-07-2024,21-07-2024,Under Control,Cases from Village Balipathar. Both samples positive for JE IgM. 4-year-old girl and 9-year-old male died.,Week 29
AS/SNP/2024/29/1563,Assam,Sonitpur,Fever,30,0,18-07-2024,19-07-2024,Under Control,"Cases from Village Gohain Bheti Gaon. All 5 blood samples negative for Dengue, malaria, typhoid, scrub typhus, leptospirosis, Hepatitis A.",Week 29
BH/PTN/2024/29/1564,Bihar,Patna,Cholera,25,0,20-06-2024,20-07-2024,Under Control,Cases from Village Semhari Buzurg. 2 of 4 stool samples positive for Vibrio cholera.,Week 29
CT/BJP/2024/29/1565,Chhattisgarh,Bijapur,Malaria,4,2,15-07-2024,15-07-2024,Under Surveillance,Cases from Village Sangampalli. 4 of 347 blood samples positive for P.falciparum. Two female children (8 and 9 years) died.,Week 29
CT/BLS/2024/29/1566,Chhattisgarh,Bilaspur,Acute Diarrheal Disease,118,0,12-07-2024,15-07-2024,Under Control,Cases from Madanpur village. 6 of 8 water samples unfit.,Week 29
CT/DRG/2024/29/1567,Chhattisgarh,Durg,Cholera,225,0,20-07-2024,21-07-2024,Under Surveillance,Cases from Village Ahivara. 5 of 12 stool samples positive for Vibrio cholera.,Week 29
CT/DRG/2024/29/1568,Chhattisgarh,Durg,Cholera,96,0,18-07-2024,18-07-2024,Under Surveillance,Cases from Village Dhamdha. 1 stool positive for Vibrio cholera. Water samples unfit.,Week 29
CT/JGC/2024/29/1569,Chhattisgarh,Janjgir-Champa,Acute Diarrheal Disease,237,2,16-07-2024,16-07-2024,Under Control,Cases from Village Kosir. All 5 water samples unfit. 2 deaths (17-year-old male and 65-year-old male).,Week 29
CT/KBD/2024/29/1570,Chhattisgarh,Kabirdham,Acute Diarrheal Disease,113,0,12-07-2024,15-07-2024,Under Surveillance,Cases from Village Bahana khodara. Symptomatic treatment. Community awareness given.,Week 29
GJ/NRM/2024/29/1571,Gujarat,Narmada,Measles,8,0,18-07-2024,19-07-2024,Under Surveillance,Cases from Bhardwaj Ashram Shala. 3 of 8 blood samples positive for Measles IgM. Age 7-12 years. Vitamin A given.,Week 29
GJ/VDD/2024/29/1572,Gujarat,Vadodara,Cholera,40,0,16-07-2024,16-07-2024,Under Control,Cases from Padra Town. 3 of 5 stool samples positive for Vibrio cholera. Water samples unfit.,Week 29
HR/FTB/2024/29/1573,Haryana,Fatehabad,Cholera,140,0,13-07-2024,17-07-2024,Under Surveillance,"Cases from Ratia city, wards 14-17. 1 stool positive for Vibrio cholera. 17 pipe leakages found and rectified.",Week 29
JK/ANG/2024/29/1574,Jammu and Kashmir,Anantnag,Acute Diarrheal Disease,142,0,20-07-2024,20-07-2024,Under Surveillance,Cases from Village Trail. Blood samples sterile. 2 of 3 water samples unfit.,Week 29
JK/GDB/2024/29/1575,Jammu and Kashmir,Ganderbal,Hepatitis A,9,0,16-07-2024,18-07-2024,Under Surveillance,Cases from Village Dignibal. 5 of 7 blood samples positive for Hepatitis A IgM. All 3 water samples unfit. Age 8-20 years.,Week 29
JK/KPW/2024/29/1576,Jammu and Kashmir,Kupwara,Measles,6,0,17-07-2024,17-07-2024,Under Control,Cases from Village Machil. 5 of 6 samples positive for Measles IgM. Age 1-11 years. Vitamin A given.,Week 29
JK/POH/2024/29/1577,Jammu and Kashmir,Poonch,Food Poisoning,13,0,17-07-2024,18-07-2024,Under Control,Cases from Al Jamia Islamial Madarasa. After food at Madarasa. Age 7-15 years.,Week 29
JH/RAN/2024/29/1578,Jharkhand,Ranchi,Dengue,10,0,13-07-2024,15-07-2024,Under Control,Cases from Pirra under Ratu CHC. 3 of 10 blood samples positive for Dengue IgM.,Week 29
KN/MND/2024/29/1579,Karnataka,Mandya,Fever,21,0,19-07-2024,19-07-2024,Under Control,Cases from Village Malligere. All 3 blood samples negative for Dengue and Chikungunya.,Week 29
KN/RCR/2024/29/1580,Karnataka,Raichur,Acute Diarrheal Disease,50,0,20-07-2024,21-07-2024,Under Control,Cases from Village Madagiri and Camp. 44 of 63 water samples unfit. Stool no pathogenic growth.,Week 29
KN/UPP/2024/29/1581,Karnataka,Udupi,Hepatitis A,24,0,18-07-2024,19-07-2024,Under Control,Cases from Gurukul Public School. 4 of 6 blood samples positive for Hepatitis A IgM.,Week 29
KN/YDG/2024/29/1582,Karnataka,Yadgir,Cholera,71,0,20-07-2024,20-07-2024,Under Control,Cases from Village Mudnoor. 3 of 4 stool samples positive for vibrio cholerae.,Week 29
KL/APZ/2024/29/1583,Kerala,Alappuzha,Food Poisoning,34,0,19-07-2024,20-07-2024,Under Surveillance,Cases from Lutheren HSS Aryad. After food in mess. All 3 water samples unfit.,Week 29
KL/KTM/2024/29/1584,Kerala,Kottayam,Hepatitis A,31,0,18-07-2024,18-07-2024,Under Surveillance,"Cases from wards 5 & 7, Village Njeezhoor. 6 blood samples positive for Hepatitis A IgM by ELISA, 2 by Card test.",Week 29
KL/KTM/2024/29/1585,Kerala,Kottayam,Hepatitis A,18,0,18-07-2024,18-07-2024,Under Surveillance,"Cases from Meppadom colony, ward No. 4. All 3 blood samples positive for Hepatitis A IgM. Both water samples unfit.",Week 29
KL/KTM/2024/29/1586,Kerala,Kottayam,Mumps,23,0,17-07-2024,17-07-2024,Under Surveillance,Cases from Assumption High School. Swelling of parotid glands. Age 6-15 years.,Week 29
KL/KOZ/2024/29/1587,Kerala,Kozhikode,Jaundice,55,0,18-07-2024,19-07-2024,Under Surveillance,"Cases from school, Village Villiappally. Blood samples negative for Hepatitis A IgM. Water unfit (E.coli and coliforms detected).",Week 29
KL/PAT/2024/29/1588,Kerala,Pathanamthitta,Leptospirosis,8,0,19-07-2024,19-07-2024,Under Surveillance,"Cases from Village Chenneerkara. 8 blood samples positive for Leptospirosis by card test. Fever, vomiting, jaundice.",Week 29
KL/WYN/2024/29/1589,Kerala,Wayanad,Mumps,18,0,08-07-2024,19-07-2024,Under Surveillance,Cases from Sub-District Sulthanbathery. Swelling of parotid glands. Age 4-10 years.,Week 29
MP/ASN/2024/29/1590,Madhya Pradesh,Ashoknagar,Cholera,18,0,20-07-2024,20-07-2024,Under Control,Cases from Village Pathari. 2 of 3 stool samples positive for vibrio cholerae.,Week 29
MP/ASN/2024/29/1591,Madhya Pradesh,Ashoknagar,Acute Diarrheal Disease,19,0,19-07-2024,19-07-2024,Under Control,Cases from Village Denga Mohchar. Stool samples no pathogenic growth.,Week 29
MP/GWL/2024/29/1592,Madhya Pradesh,Gwalior,Food Poisoning,42,0,18-07-2024,18-07-2024,Under Control,"Cases from ward no. 30, Sub-District Dabra. After food in religious function.",Week 29
MP/HGB/2024/29/1593,Madhya Pradesh,Hoshangabad,Acute Diarrheal Disease,31,0,13-07-2024,16-07-2024,Under Control,Cases from Village Binora. Stool no pathogenic growth. Water samples fit.,Week 29
MP/JBL/2024/29/1594,Madhya Pradesh,Jabalpur,Acute Diarrheal Disease,27,1,08-07-2024,15-07-2024,Under Control,Cases from Sub-District Sihora. Stool no pathogenic growth. Water fit. 52-year-old male expired 5 July 2024.,Week 29
MP/KTN/2024/29/1595,Madhya Pradesh,Katni,Acute Diarrheal Disease,20,0,14-07-2024,15-07-2024,Under Surveillance,Cases from Sub-District Murwara. Water sample fit.,Week 29
MP/MDL/2024/29/1596,Madhya Pradesh,Mandla,Cholera,35,0,20-07-2024,20-07-2024,Under Surveillance,"Cases from Village Deohara. 1 stool positive for Vibrio cholera, 1 for Adeno virus. Water unfit.",Week 29
MP/RSN/2024/29/1597,Madhya Pradesh,Raisen,Cholera,21,1,19-07-2024,19-07-2024,Under Control,Cases from Village Kamton kansiya. 2 stool positive for Vibrio cholera. 15 of 15 water samples unfit (E.coli). 15-year-old male expired.,Week 29
MP/RWA/2024/29/1598,Madhya Pradesh,Rewa,Cholera,40,0,21-07-2024,21-07-2024,Under Surveillance,Cases from Village Barhat. 1 stool positive for vibrio cholera.,Week 29
MP/RWA/2024/29/1599,Madhya Pradesh,Rewa,Dengue,21,0,19-07-2024,20-07-2024,Under Surveillance,Cases from Village Baisa. All 20 blood samples positive for Dengue NS1 by ELISA.,Week 29
MP/RWA/2024/29/1600,Madhya Pradesh,Rewa,Scrub Typhus,15,0,15-07-2024,15-07-2024,Under Surveillance,Cases from District Rewa. All 15 blood samples positive for Scrub typhus IgM by ELISA.,Week 29
MP/STN/2024/29/1601,Madhya Pradesh,Satna,Cholera,51,2,21-07-2024,21-07-2024,Under Surveillance,Cases from Village Piparhat. Stool positive for vibrio cholera. Water unfit. 2 females (32 and 63 years) expired 20-07-2024.,Week 29
MP/SEO/2024/29/1602,Madhya Pradesh,Seoni,Acute Diarrheal Disease,29,0,17-07-2024,18-07-2024,Under Surveillance,Cases from Village Kamta. Stool no pathogenic growth.,Week 29
MP/SVP/2024/29/1603,Madhya Pradesh,Shivpuri,Acute Diarrheal Disease,17,0,21-07-2024,21-07-2024,Under Control,Cases from Village Gudar. Symptomatic treatment.,Week 29
MH/AHM/2024/29/1604,Maharashtra,Ahmednagar,Zika Virus,3,0,17-07-2024,18-07-2024,Under Surveillance,Cases from Sub-District Sangamner. 3 of 8 blood samples positive for Zika Virus by RT-PCR.,Week 29
MH/AKL/2024/29/1605,Maharashtra,Akola,Acute Diarrheal Disease,23,0,19-07-2024,19-07-2024,Under Control,Cases from Village Shahanur. Stool no pathogenic growth. 5 of 15 water samples unfit.,Week 29
MH/AMV/2024/29/1606,Maharashtra,Amravati,Acute Diarrheal Disease,89,1,16-07-2024,16-07-2024,Under Surveillance,Cases from Village Khatkhali. Stool no pathogenic growth. 2 of 7 water samples unfit. 16-year-old male died 13-07-2024.,Week 29
MH/AMV/2024/29/1607,Maharashtra,Amravati,Acute Diarrheal Disease,70,0,15-07-2024,15-07-2024,Under Surveillance,Cases from Village Adhao. All 3 water samples fit.,Week 29
MH/CDP/2024/29/1608,Maharashtra,Chandrapur,Malaria,30,1,18-07-2024,19-07-2024,Under Surveillance,Cases from Villages Kakaban and Asapur. 30 of 461 blood samples positive for P.falciparum. 11-year-old female expired.,Week 29
MH/DHL/2024/29/1609,Maharashtra,Dhule,Acute Diarrheal Disease,22,0,19-07-2024,20-07-2024,Under Surveillance,Cases from Village Kusumba. Stool no pathogenic growth. Water samples unfit.,Week 29
MH/KOP/2024/29/1610,Maharashtra,Kolhapur,Dysentery,98,0,20-07-2024,20-07-2024,Under Surveillance,Cases from Village Mugali. Loose stools with blood. Stool no pathogenic growth. Water samples fit.,Week 29
MH/PRB/2024/29/1611,Maharashtra,Parbhani,Acute Diarrheal Disease,79,0,11-07-2024,15-07-2024,Under Control,Cases from Village Kholgadga. Stool no pathogenic growth. Water fit.,Week 29
MH/PNE/2024/29/1612,Maharashtra,Pune,Zika Virus,11,0,08-07-2024,16-07-2024,Under Surveillance,"Cases from Thite nagar, Kharadi. 11 of 20 blood samples positive for Zika Virus by RT-PCR.",Week 29
MH/PNE/2024/29/1613,Maharashtra,Pune,Zika Virus,1,0,13-07-2024,15-07-2024,Under Surveillance,"Cases from Village Bhugaon, Mulshi. 1 of 49 blood samples positive for Zika Virus by RT-PCR.",Week 29
MH/STR/2024/29/1614,Maharashtra,Satara,Dengue,17,0,16-07-2024,19-07-2024,Under Surveillance,Cases from Village Brahmanshani. 5 of 17 blood samples positive for Dengue NS1 by RDT.,Week 29
MZ/AZL/2024/29/1615,Mizoram,Aizawl,Food Poisoning,38,0,27-07-2024,20-07-2024,Under Control,Cases from Village Sairang Dinthar. After consuming food. Soyabean food sample unsatisfactory (salmonella detected).,Week 29
OR/BLG/2024/29/1616,Odisha,Balangir,Acute Diarrheal Disease,61,0,17-06-2024,17-07-2024,Under Surveillance,Cases from Village Kurul. Rectal swab sterile. Water samples unfit.,Week 29
OR/BLG/2024/29/1617,Odisha,Balangir,Acute Diarrheal Disease,15,0,17-07-2024,18-07-2024,Under Control,Cases from Village Belpara. Rectal swab sterile. Water sample fit.,Week 29
OR/BRG/2024/29/1618,Odisha,Bargarh,Acute Diarrheal Disease,17,0,15-07-2024,15-07-2024,Under Control,Cases from Village Kasipani. Rectal swab sterile. Water samples fit.,Week 29
OR/BDK/2024/29/1619,Odisha,Bhadrak,Food Poisoning,33,0,08-07-2024,15-07-2024,Under Control,Cases from Sub-District Chandabali. After marriage function food. Symptomatic treatment.,Week 29
OR/GJM/2024/29/1620,Odisha,Ganjam,Acute Diarrheal Disease,36,0,16-07-2024,19-07-2024,Under Control,Cases from Village Ambapua. Rectal swab sterile. Water samples unfit.,Week 29
OR/MYB/2024/29/1621,Odisha,Mayurbhanj,Food Poisoning,23,0,17-07-2024,17-07-2024,Under Control,Cases from Village Dumurdiha. After mess food. Rectal swab sterile. Water fit.,Week 29
OR/RYG/2024/29/1622,Odisha,Rayagada,Measles,28,0,18-07-2024,20-07-2024,Under Surveillance,Cases from Village Phajilibandha. All 5 blood samples positive for Measles IgM. Age 6-10 years. Vitamin A given.,Week 29
OR/SDG/2024/29/1623,Odisha,Sundargarh,Acute Diarrheal Disease,19,0,19-07-2024,19-07-2024,Under Control,Cases from Sub-District Sundargarh Town. Rectal swab no pathogenic growth. Water unfit.,Week 29
